song,artist
bad day,daniel powter
temperature,sean paul
promiscuous,nelly furtado featuring timbaland
you're beautiful,james blunt
hips don't lie,shakira featuring wyclef jean
unwritten,natasha bedingfield
crazy,gnarls barkley
ridin',chamillionaire featuring krayzie bone
sexyback,justin timberlake
check on it,beyonce featuring slim thug
be without you,mary j. blige
grillz,"nelly featuring paul wall, ali & gipp"
over my head (cable car),the fray
me & u,cassie
buttons,the pussycat dolls featuring snoop dogg
run it!,chris brown
so sick,ne-yo
it's goin' down,yung joc
sos,rihanna
i write sins not tragedies,panic! at the disco
move along,the all-american rejects
london bridge,fergie
dani california,red hot chili peppers
snap yo fingers,lil jon featuring e-40 & sean paul of the youngbloodz
"lean wit it, rock wit it",dem franchize boyz featuring lil peanut & charlay
what hurts the most,rascal flatts
how to save a life,the fray
unfaithful,rihanna
chasing cars,snow patrol
lips of an angel,hinder
everytime we touch,cascada
ain't no other man ,christina aguilera
"dance, dance",fall out boy
gold digger,kanye west featuring jamie foxx
money maker,ludacris featuring pharrell
ms. new booty,bubba sparxxx featuring ying yang twins & mr. collipark
(when you gonna) give it up to me,sean paul featuring keyshia cole
photograph,nickelback
because of you,kelly clarkson
stickwitu,the pussycat dolls
i'm n luv (wit a stripper),t-pain featuring mike jones
my humps,the black eyed peas
where'd you go,fort minor featuring holly brook
yo (excuse me miss),chris brown
walk away,kelly clarkson
laffy taffy,d4l
what you know,t.i.
dirty little secret,the all-american rejects
savin' me,nickelback
don't forget about us,mariah carey
sexy love,ne-yo
u and dat,e-40 featuring t-pain & kandi girl
far away,nickelback
what's left of me,nick lachey
so what,field mob featuring ciara
do it to it,cherish featuring sean paul of the youngbloodz
black horse & the cherry tree,kt tunstall
there it go! (the whistle song),juelz santana
shoulder lean,young dro featuring t.i.
unpredictable,jamie foxx featuring ludacris
my love,justin timberlake featuring t.i.
shake that,eminem featuring nate dogg
pullin' me back,chingy featuring tyrese
bossy,kelis featuring too $hort
chain hang low,jibbs
smack that,akon featuring eminem
one wish,ray j
"sugar, we're goin' down",fall out boy
gimme that,chris brown featuring lil wayne
i know you see it,yung joc featuring brandy 'ms. b.' hambrick
who says you can't go home,bon jovi
too little too late,jojo
touch it,busta rhymes
rompe,daddy yankee
deja vu,beyonce featuring jay z
life is a highway,rascal flatts
call me when you're sober,evanescence
"jesus, take the wheel",carrie underwood
show stopper,danity kane
get up,ciara featuring chamillionaire
we be burnin',sean paul
hate me,blue october
you and me,lifehouse
beep,the pussycat dolls featuring will.i.am
i think they like me,"dem franchize boyz featuring jermaine dupri, da brat & bow wow"
say goodbye,chris brown
waiting on the world to change,john mayer
soul survivor,young jeezy featuring akon
pump it,the black eyed peas
when i'm gone,eminem
hung up,madonna
stay fly,three 6 mafia featuring young buck & eightball & mjg
love,keyshia cole
when you're mad,ne-yo
why you wanna,t.i.
stupid girls,p!nk
feel good inc,gorillaz
i'm sprung,t-pain
do i make you proud,taylor hicks
for you i will (confidence),teddy geiger
irreplaceable,beyonce
umbrella,rihanna featuring jay-z
the sweet escape,gwen stefani featuring akon
big girls don't cry,fergie
buy u a drank (shawty snappin'),t-pain featuring yung joc
before he cheats,carrie underwood
hey there delilah,plain white t's
i wanna love you,akon featuring snoop dogg
say it right,nelly furtado
glamorous,fergie featuring ludacris
don't matter,akon
girlfriend,avril lavigne
makes me wonder,maroon 5
party like a rockstar,shop boyz
smack that,akon featuring eminem
this is why i'm hot,mims
it's not over,daughtry
the way i are,timbaland featuring keri hilson
fergalicious,fergie
crank that (soulja boy),soulja boy tell'em
give it to me,timbaland featuring nelly furtado & justin timberlake
what goes around...comes around,justin timberlake
cupid's chokehold/breakfast in america,gym class heroes featuring patrick stump
how to save a life,the fray
home,daughtry
my love,justin timberlake featuring t.i.
stronger, kanye west
we fly high,jim jones
u + ur hand,p!nk
walk it out,unk
beautiful girls,sean kingston
"this ain't a scene, it's an arms race",fall out boy
bartender,t-pain featuring akon
"pop, lock & drop it",huey
runaway love,ludacris featuring mary j. blige 
rockstar,nickelback
thnks fr th mmrs,fall out boy
what i've done,linkin park
summer love,justin timberlake
you,lloyd featuring lil wayne
wait for you,elliott yamin
last night,diddy featuring keyshia cole
make it rain,fat joe featuring lil wayne
make me better,fabolous featuring ne-yo
ice box,omarion
lips of an angel,hinder
waiting on the world to change,john mayer
lost without u,robin thicke
i'm a flirt,r. kelly or bow wow (featuring t.i. & t-pain)
if everyone cared,nickelback
get it shawty,lloyd
face down,the red jumpsuit apparatus
the way i live,baby boy da prince featuring lil boosie
shortie like mine,bow wow featuring chris brown & johnta austin
it ends tonight,the all-american rejects
a bay bay,hurricane chris
because of you,ne-yo
i tried,bone thugs-n-harmony featuring akon
welcome to the black parade,my chemical romance
shawty,plies featuring t-pain
chasing cars,snow patrol
beautiful liar,beyonce & shakira
sexyback,justin timberlake
keep holding on,avril lavigne
let it go, keyshia cole featuring missy elliott & lil kim
apologize,timbaland featuring onerepublic
bubbly,colbie caillat
like a boy,ciara
who knew,p!nk
never again,kelly clarkson
promise,ciara
bed,j. holiday
throw some d's,rich boy featuring polow da don
rehab,amy winehouse
big things poppin' (do it),t.i.
no one,alicia keys 
the great escape,boys like girls
2 step,unk
walk away (remember me),paula deanda featuring the dey
go getta,young jeezy featuring r. kelly
here (in your arms),hellogoodbye
on the hotline,pretty ricky
wind it up,gwen stefani
cyclone,baby bash featuring t-pain
break it off,rihanna & sean paul
first time,lifehouse
ayo technology,50 cent featuring justin timberlake & timbaland
outta my system,bow wow featuring t-pain & johnta austin
teardrops on my guitar,taylor swift
shut up and drive,rihanna
snow ((hey oh)),red hot chili peppers
money maker,ludacris featuring pharrell
kiss kiss,chris brown featuring t-pain
far away,nickelback
rock yo hips,crime mob featuring lil scrappy
lovestoned,justin timberlake
better than me,hinder
paralyzer,finger eleven
that's that,snoop dogg featuring r. kelly
same girl,r. kelly duet with usher
low,flo rida featuring t-pain
bleeding love,leona lewis
no one ,alicia keys
lollipop,lil wayne featuring static major
apologize,timbaland featuring onerepublic
no air,jordin sparks duet with chris brown
love song,sara bareilles
love in this club,usher featuring young jeezy
with you,chris brown
forever,chris brown
sexy can i,ray j & yung berg
take a bow,rihanna
viva la vida,coldplay
i kissed a girl,katy perry
whatever you like,t.i.
disturbia,rihanna
don't stop the music,rihanna
pocketful of sunshine,natasha bedingfield
kiss kiss,chris brown featuring t-pain
closer,ne-yo
bubbly,colbie caillat
touch my body,mariah carey
4 minutes,madonna featuring justin timberlake & timbaland
so what,p!nk
paralyzer,finger eleven
clumsy,fergie
i'm yours,jason mraz
leavin',jesse mccartney
dangerous,kardinal offishall featuring akon
tattoo,jordin sparks
see you again,miley cyrus
shake it,metro station
stop and stare,onerepublic
take you there,sean kingston
paper planes,m.i.a.
hot n cold,katy perry
live your life,t.i. featuring rihanna
bust it baby part 2,plies featuring ne-yo
american boy,estelle featuring kanye west
got money,lil wayne featuring t-pain
our song,taylor swift
damaged,danity kane
a milli,lil wayne
sorry,buckcherry
independent,webbie featuring lil' phat & lil' boosie
can't believe it,t-pain featuring lil wayne
like you'll never see me again,alicia keys
teardrops on my guitar,taylor swift
when i grow up,the pussycat dolls 
sensual seduction,snoop dogg
what you got,colby o'donis featuring akon
it's not my time,3 doors down
better in time,leona lewis
crank that (soulja boy),soulja boy tell'em
shadow of the day,linkin park
sweetest girl (dollar bill),"wyclef jean featuring akon, lil wayne & niia"
miss independent,ne-yo
fall for you,secondhand serenade
in the ayer,flo rida featuring will.i.am
say,john mayer
one step at a time,jordin sparks
hate that i love you,rihanna featuring ne-yo
superstar,lupe fiasco featuring matthew santos
suffocate,j. holiday
let it rock,kevin rudolf featuring lil wayne
get like me,david banner featuring chris brown
realize,colbie caillat
put on,young jeezy featuring kanye west
the time of my life,david cook
lolli lolli (pop that body),"three 6 mafia featuring project pat, young d & superpower"
cyclone,baby bash featuring t-pain
love like this,natasha bedingfield featuring sean kingston
burnin' up,jonas brothers
love lockdown,kanye west
i luv your girl,the-dream
crush,david archuleta
hypnotized,plies featuring akon
big girls don't cry,fergie
good life,kanye west featuring t-pain
womanizer,britney spears
love story,taylor swift
just fine,mary j. blige
piece of me,britney spears
the boss,rick ross featuring t-pain
all summer long,kid rock
can't help but wait,trey songz
in love with a girl,gavin degraw
my life,the game featuring lil wayne
i remember,keyshia cole
flashing lights,kanye west featuring dwele
mrs. officer,lil wayne featuring bobby valentino & kidd kidd
7 things,miley cyrus
you're gonna miss this,trace adkins
love remains the same,gavin rossdale
feels like tonight,daughtry
the way i are,timbaland featuring keri hilson
addicted,saving abel
into the night,santana featuring chad kroeger
heaven sent,keyshia cole
she got it,2 pistols featuring t-pain & tay dizm
boom boom pow,the black eyed peas
poker face,lady gaga
just dance,lady gaga featuring colby o'donis
i gotta feeling,the black eyed peas
love story,taylor swift
right round,flo rida
i'm yours,jason mraz
single ladies (put a ring on it),beyonce
heartless,kanye west
gives you hell,the all-american rejects
you belong with me,taylor swift
dead and gone,t.i. featuring justin timberlake
you found me,the fray
use somebody,kings of leon
knock you down,keri hilson featuring kanye west & ne-yo
blame it,jamie foxx featuring t-pain
i know you want me (calle ocho),pitbull
live your life,t.i. featuring rihanna
kiss me thru the phone,soulja boy tell 'em featuring sammie
down,jay sean featuring lil wayne
the climb,miley cyrus
best i ever had,drake
my life would suck without you,kelly clarkson
halo,beyonce
hot n cold,katy perry
second chance,shinedown
circus,britney spears
day 'n' nite,kid cudi
party in the u.s.a.,miley cyrus
don't trust me,3oh!3
run this town,"jay-z, rihanna & kanye west"
let it rock,kevin rudolf featuring lil wayne
fire burning,sean kingston
whatcha say,jason derulo
lovegame,lady gaga
waking up in vegas,katy perry
birthday sex,jeremih
sober,p!nk
womanizer,britney spears
whatever you like,t.i.
obsessed,mariah carey
mad,ne-yo
good girls go bad,cobra starship featuring leighton meester
love lockdown,kanye west
so what,p!nk
hotel room service,pitbull
crack a bottle,"eminem, dr. dre & 50 cent"
if i were a boy,beyonce
turnin me on,keri hilson featuring lil wayne
i hate this part,the pussycat dolls
gotta be somebody,nickelback
please don't leave me,p!nk
paparazzi,lady gaga
beautiful,akon featuring colby o'donis & kardinal offishall
viva la vida,coldplay
right now (na na na),akon
battlefield,jordin sparks
sugar,flo rida featuring wynter
miss independent,ne-yo
fireflies,owl city
new divide,linkin park
empire state of mind,jay-z + alicia keys
no surprise,daughtry
she wolf,shakira
break up,mario featuring gucci mane & sean garrett
sweet dreams,beyonce
every girl,young money
fallin' for you,colbie caillat
untouched,the veronicas
if today was your last day,nickelback
throw it in the bag,fabolous featuring the-dream
love drunk,boys like girls
i love college,asher roth
if u seek amy,britney spears
big green tractor,jason aldean
white horse,taylor swift
disturbia,rihanna
21 guns,green day
turn my swag on,soulja boy tell'em
rockin' that thang,the-dream
chicken fried,zac brown band
diva,beyonce
replay,iyaz
then,brad paisley
her diamonds,rob thomas
how do you sleep?,jesse mccartney featuring ludacris
3,britney spears
forever,"drake featuring kanye west, lil wayne & eminem"
one time,justin bieber
i run to you,lady antebellum
i do not hook up,kelly clarkson
green light,john legend featuring andre 3000
people are crazy,billy currington
whatever it is,zac brown band
already gone,kelly clarkson
goodbye,kristinia debarge
say hey (i love you),michael franti & spearhead featuring cherine anderson
pop champagne,jim jones & ron browz featuring juelz santana
pretty wings,maxwell
never say never,the fray
tik tok,ke$ha
need you now,lady antebellum
"hey, soul sister",train
california gurls,katy perry featuring snoop dogg
omg,usher featuring will.i.am
airplanes,b.o.b featuring hayley williams
love the way you lie,eminem featuring rihanna
bad romance,lady gaga
dynamite,taio cruz
break your heart,taio cruz featuring ludacris
nothin' on you,b.o.b featuring bruno mars
i like it,enrique iglesias featuring pitbull
bedrock,young money featuring lloyd
in my head,jason derulo
rude boy,rihanna
telephone,lady gaga featuring beyonce
teenage dream,katy perry
just the way you are,bruno mars
cooler than me,mike posner
imma be,the black eyed peas
empire state of mind,jay-z + alicia keys
dj got us fallin' in love,usher featuring pitbull
billionaire,travie mccoy featuring bruno mars
not afraid,eminem
replay,iyaz
sexy chick,david guetta featuring akon
breakeven,the script
your love is my drug,ke$ha
i gotta feeling,the black eyed peas
fireflies,owl city
say aah,trey songz featuring fabolous
find your love,drake
alejandro,lady gaga
ridin' solo,jason derulo
just a dream,nelly
how low,ludacris
like a g6,far*east movement featuring cataracs & dev
carry out,timbaland featuring justin timberlake
haven't met you yet,michael buble
club can't handle me,flo rida featuring david guetta
down,jay sean featuring lil wayne
bulletproof,la roux
whatcha say,jason derulo
baby,justin bieber featuring ludacris
whataya want from me,adam lambert
mine,taylor swift
only girl (in the world),rihanna
live like we're dying,kris allen
hard,rihanna featuring jeezy
young forever,jay-z + mr. hudson
blah blah blah,ke$ha featuring 3oh!3
bottoms up,trey songz featuring nicki minaj
do you remember,jay sean featuring sean paul & lil jon
all the right moves,onerepublic
according to you,orianthi
my chick bad,ludacris featuring nicki minaj
you belong with me,taylor swift
meet me halfway,the black eyed peas
take it off,ke$ha
over,drake
animal,neon trees
misery,maroon 5
magic,b.o.b featuring rivers cuomo
paparazzi,lady gaga
tie me down,new boyz featuring ray j
your love,nicki minaj
party in the u.s.a.,miley cyrus
deuces,chris brown featuring tyga & kevin mccall
3,britney spears
impossible,shontelle
forever ,"drake featuring kanye west, lil wayne & eminem"
two is better than one,boys like girls featuring taylor swift
my first kiss,3oh!3 featuring ke$ha
already gone,kelly clarkson
rock that body,the black eyed peas
secrets,onerepublic
naturally,selena gomez & the scene
un-thinkable (i'm ready),alicia keys
all i do is win,"dj khaled featuring t-pain, ludacris, snoop dogg & rick ross"
i made it (cash money heroes),"kevin rudolf featuring birdman, jay sean, & lil wayne"
stuck like glue,sugarland
 hey daddy (daddy's home),usher featuring plies
there goes my baby,usher
today was a fairytale,taylor swift
say something,timbaland featuring drake
sweet dreams,beyonce
use somebody,kings of leon
undo it,carrie underwood
eenie meenie,sean kingston & justin bieber
right above it,lil wayne featuring drake
the house that built me,miranda lambert
if i die young,the band perry
the only exception,paramore
american honey,lady antebellum
king of anything,sara bareilles
life after you,daughtry
smile,uncle kracker
teach me how to dougie,cali swag district
try sleeping with a broken heart,alicia keys
"lover, lover",jerrod niemann
rolling in the deep,adele
party rock anthem,lmfao featuring lauren bennett & goonrock
firework,katy perry
e.t.,katy perry featuring kanye west
give me everything,"pitbull featuring ne-yo, afrojack & nayer"
grenade,bruno mars
super bass,nicki minaj
moves like jagger,maroon 5 featuring christina aguilera
just can't get enough,the black eyed peas
on the floor,jennifer lopez featuring pitbull
s&m,rihanna
pumped up kicks,foster the people
last friday night (t.g.i.f.),katy perry
just the way you are,bruno mars
tonight (i'm lovin' you),enrique iglesias featuring ludacris & dj frank e
raise your glass,p!nk
born this way,lady gaga
f**kin' perfect,p!nk
what's my name?,rihanna featuring drake
look at me now,chris brown featuring lil wayne & busta rhymes
down on me,jeremih featuring 50 cent
how to love,lil wayne
someone like you,adele
good life,onerepublic
the lazy song,bruno mars
till the world ends,britney spears
the show goes on,lupe fiasco
the edge of glory,lady gaga
we r who we r,ke$ha
black and yellow,wiz khalifa
tonight tonight,hot chelle rae
blow,ke$ha
lighters,bad meets evil featuring bruno mars
if i die young,the band perry
stereo hearts,gym class heroes featuring adam levine
the time (dirty bit),the black eyed peas
coming home,diddy - dirty money featuring skylar grey
hey baby (drop it to the floor),pitbull featuring t-pain
only girl (in the world),rihanna
6 foot 7 foot,lil wayne featuring cory gunz
just a kiss,lady antebellum
dirt road anthem,jason aldean
dynamite,taio cruz
no hands,waka flocka flame featuring roscoe dash & wale
i wanna go,britney spears
i'm on one,"dj khaled featuring drake, rick ross & lil wayne"
you make me feel...,cobra starship featuring sabi
yeah 3x,chris brown
moment 4 life,nicki minaj featuring drake
i need a doctor,dr. dre featuring eminem & skylar grey
just a dream,nelly
motivation,kelly rowland featuring lil wayne
stereo love,edward maya & vika jigulina
jar of hearts,christina perri
roll up,wiz khalifa
sexy and i know it,lmfao
rocketeer,far*east movement featuring ryan tedder
all of the lights,kanye west
hold it against me,britney spears
more,usher
what the hell,avril lavigne
written in the stars,tinie tempah featuring eric turner
bottoms up,trey songz featuring nicki minaj
dj got us fallin' in love,usher featuring pitbull
for the first time,the script
honey bee,blake shelton
don't you wanna stay,jason aldean with kelly clarkson
we found love,rihanna featuring calvin harris
pretty girl rock,keri hilson
you and i,lady gaga
like a g6,far*east movement featuring cataracs & dev
without you,david guetta featuring usher
 back to december,taylor swift
teenage dream,katy perry
crazy girl,eli young band
cheers (drink to that),rihanna
who says,selena gomez & the scene
barefoot blue jean night,jake owen
knee deep,zac brown band featuring jimmy buffett
country girl (shake it for me),luke bryan
remind me,brad paisley duet with carrie underwood
in the dark,dev
backseat,new boyz featuring the cataracs & dev
headlines,drake
best thing i never had,beyonce
don't wanna go home,jason derulo
where them girls at,david guetta featuring flo rida & nicki minaj
she ain't you,chris brown
take a back road,rodney atkins
please don't go,mike posner
sure thing,miguel
price tag,jessie j featuring b.o.b
god gave me you,blake shelton
she will,lil wayne featuring drake
are you gonna kiss me or not,thompson square
animal,neon trees
you and tequila,kenny chesney featuring grace potter
colder weather,zac brown band
my last,big sean featuring chris brown
somebody that i used to know,gotye featuring kimbra
call me maybe,carly rae jepsen
 we are young,fun. featuring janelle monae
payphone,maroon 5 featuring wiz khalifa
lights,ellie goulding
glad you came,the wanted
stronger (what doesn't kill you),kelly clarkson
we found love,rihanna featuring calvin harris
starships,nicki minaj
what makes you beautiful,one direction
wild ones,flo rida featuring sia
set fire to the rain,adele
sexy and i know it,lmfao
some nights,fun.
wide awake,katy perry
good feeling,flo rida
whistle,flo rida
one more night,maroon 5
drive by,train
the motto,drake featuring lil wayne
where have you been,rihanna
everybody talks,neon trees
take care,drake featuring rihanna
titanium,david guetta featuring sia
i won't give up,jason mraz
it will rain,bruno mars
mercy,"kanye west, big sean, pusha t, 2 chainz"
boyfriend,justin bieber
party rock anthem,lmfao featuring lauren bennett & goonrock
too close,alex clare
part of me,katy perry
"young, wild & free",snoop dogg & wiz khalifa featuring bruno mars
we are never ever getting back together,taylor swift
as long as you love me,justin bieber featuring big sean
turn me on,david guetta featuring nicki minaj
moves like jagger,maroon 5 featuring christina aguilera
blow me (one last kiss),p!nk
good time,owl city & carly rae jepsen
give your heart a break,demi lovato
ni**as in paris ,jay z kanye west
the one that got away,katy perry
feel so close,calvin harris
someone like you,adele
scream,usher
rack city,tyga
domino,jessie j
gangnam style,psy
international love,pitbull featuring chris brown
home,phillip phillips
without you,david guetta featuring usher
ass back home,gym class heroes featuring neon hitch
wanted,hunter hayes
drunk on you,luke bryan
no lie,2 chainz featuring drake
want u back,cher lloyd
don't wake me up,chris brown
dance (a$$),big sean featuring nicki minaj
springsteen,eric church
brokenhearted,karmin
not over you,gavin degraw
stereo hearts,gym class heroes featuring adam levine
back in time,pitbull
work out,j. cole
rumour has it,adele
let's go,calvin harris featuring ne-yo
good girl,carrie underwood
pontoon,little big town
ho hey,the lumineers
 paradise,coldplay
blown away,carrie underwood
rolling in the deep,adele
climax,usher
"work hard, play hard",wiz khalifa
let me love you (until you learn to love yourself),ne-yo
pound the alarm,nicki minaj
come over,kenny chesney
heart attack,trey songz
drank in my cup,kirko bangz
birthday cake,rihanna featuring chris brown
so good,b.o.b
50 ways to say goodbye,train
red solo cup,toby keith
love you like a love song,selena gomez & the scene
turn up the music,chris brown
die young,ke$ha
5 o'clock,t-pain featuring wiz khalifa & lily allen
a thousand years,christina perri
take a little ride,jason aldean
you da one,rihanna
we run the night,havana brown featuring pitbull
it's time,imagine dragons
cashin' out,ca$h out
i don't want this night to end,luke bryan
diamonds,rihanna
hard to love,lee brice
somethin' 'bout a truck,kip moore
adorn,miguel
fly over states,jason aldean
even if it breaks your heart,eli young band
burn it down,linkin park
thrift shop,macklemore & ryan lewis featuring wanz
blurred lines,robin thicke featuring t.i. + pharrell
radioactive,imagine dragons
harlem shake,baauer
can't hold us,macklemore & ryan lewis featuring ray dalton
mirrors,justin timberlake
just give me a reason,p!nk featuring nate ruess
when i was your man,bruno mars
cruise,florida georgia line featuring nelly
roar,katy perry
locked out of heaven,bruno mars
ho hey,the lumineers
stay,rihanna featuring mikky ekko
get lucky,daft punk featuring pharrell williams
royals,lorde
i knew you were trouble.,taylor swift
we can't stop,miley cyrus
wrecking ball,miley cyrus
wake me up!,avicii
suit & tie,justin timberlake featuring jay z
cups (pitch perfect's when i'm gone),anna kendrick
holy grail,jay z featuring justin timberlake
scream & shout,will.i.am & britney spears
clarity,zedd featuring foxes
sail,awolnation
don't you worry child,swedish house mafia featuring john martin
diamonds,rihanna
i love it,icona pop featuring charli xcx
safe and sound,capital cities
treasure,bruno mars
the way,ariana grande featuring mac miller
started from the bottom,drake
come & get it,selena gomez
"hold on, we're going home",drake featuring majid jordan
daylight,maroon 5
feel this moment,pitbull featuring christina aguilera
applause,lady gaga
one more night,maroon 5
love me,lil wayne featuring drake & future
my songs know what you did in the dark (light em up),fall out boy
f**kin problems,"a$ap rocky featuring drake, 2 chainz & kendrick lamar"
beauty and a beat,justin bieber featuring nicki minaj
same love,macklemore & ryan lewis featuring mary lambert
sweet nothing,calvin harris featuring florence welch
summertime sadness,lana del rey & cedric gervais
 home,phillip phillips
it's time,imagine dragons
power trip,j. cole featuring miguel
girl on fire,alicia keys featuring nicki minaj
heart attack,demi lovato
love somebody,maroon 5
i will wait,mumford & sons
try,p!nk
wagon wheel,darius rucker
gangnam style,psy
i need your love,calvin harris featuring ellie goulding
die young,ke$ha
some nights,fun.
bad,wale featuring tiara thomas or rihanna
boys 'round here,blake shelton featuring pistol annies & friends
"gone, gone, gone",phillip phillips
demons,imagine dragons
counting stars,onerepublic
i cry,flo rida
little talks,of monsters and men
the other side,jason derulo
berzerk,eminem
catch my breath,kelly clarkson
crash my party,luke bryan
pour it up,rihanna
22,taylor swift
i want crazy,hunter hayes
the fox,ylvis
best song ever,one direction
the a team,ed sheeran
carry on,fun.
highway don't care,tim mcgraw with taylor swift
that's my kind of night,luke bryan
swimming pools (drank),kendrick lamar
sure be cool if you did,blake shelton
#beautiful,mariah carey featuring miguel
